configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,736408,1.40, 0.15, 0:00.37, 417, 497 , 2022.27 , 296.34
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,277639,2.90, 0.29, 0:00.69, 461, 497 , 903.72 , 111.73
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,222444,2.42, 0.22, 0:00.52, 499, 497 , 1281.94 , 89.51
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,223330,2.68, 0.23, 0:00.52, 557, 497 , 1236.82 , 89.87
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,411326,3.35, 0.28, 0:00.67, 541, 497 , 907.90 , 165.52
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,411804,2.78, 0.19, 0:00.53, 554, 497 , 1234.94 , 165.72
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,312002,1.98, 0.26, 0:00.56, 399, 497 , 1166.86 , 125.55
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,499149,2.63, 0.30, 0:00.62, 472, 497 , 1024.24 , 200.86
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,304631,2.41, 0.23, 0:00.56, 465, 497 , 1159.78 , 122.59
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,303600,2.57, 0.22, 0:00.55, 508, 497 , 1169.65 , 122.17
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,343291,2.38, 0.23, 0:00.54, 484, 497 , 1186.75 , 138.15
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,672114,1.47, 0.23, 0:00.37, 455, 497 , 2038.46 , 270.47
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,398968,2.64, 0.18, 0:00.54, 517, 497 , 1221.90 , 160.55
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,316038,2.65, 0.26, 0:00.62, 464, 497 , 1019.23 , 127.18
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,312087,2.71, 0.28, 0:00.60, 493, 497 , 1071.29 , 125.59
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,314679,2.39, 0.19, 0:00.52, 488, 497 , 1219.23 , 126.63
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,353842,3.03, 0.26, 0:00.62, 525, 497 , 992.38 , 142.39
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,296003,2.51, 0.23, 0:00.64, 427, 497 , 956.49 , 119.12
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,312002,2.78, 0.23, 0:00.61, 491, 497 , 1044.95 , 125.55
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,341695,2.97, 0.29, 0:00.67, 484, 497 , 944.30 , 137.50
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,288220,3.09, 0.32, 0:00.70, 485, 497 , 879.90 , 115.98
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,281392,3.17, 0.29, 0:00.68, 503, 497 , 905.83 , 113.24
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,672114,1.53, 0.25, 0:00.37, 472, 497 , 2020.39 , 270.47
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,332991,3.28, 0.26, 0:00.73, 483, 497 , 830.02 , 134.00
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,287640,3.18, 0.25, 0:00.72, 475, 497 , 848.40 , 115.75
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,298423,3.06, 0.24, 0:00.78, 421, 497 , 768.49 , 120.09
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,427168,2.96, 0.22, 0:00.57, 557, 497 , 1142.45 , 171.90
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,522619,3.37, 0.25, 0:00.64, 559, 497 , 966.34 , 210.31
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,451025,3.12, 0.21, 0:00.58, 574, 497 , 1113.77 , 181.50
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,293173,2.44, 0.22, 0:00.55, 483, 497 , 1222.43 , 117.98
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,293401,2.38, 0.22, 0:00.51, 511, 497 , 1333.35 , 118.07
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,321430,2.75, 0.28, 0:00.60, 506, 497 , 1089.57 , 129.35
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,414269,2.01, 0.25, 0:00.43, 521, 497 , 1651.48 , 166.71
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,740818,1.11, 0.20, 0:00.34, 381, 497 , 2308.98 , 298.12
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,451020,2.84, 0.24, 0:00.49, 627, 497 , 1393.93 , 181.50
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,448723,3.11, 0.25, 0:00.50, 661, 497 , 1340.40 , 180.57
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,449134,2.68, 0.23, 0:00.47, 614, 497 , 1398.23 , 180.74
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,312002,2.89, 0.23, 0:00.60, 519, 497 , 1023.39 , 125.55
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,461112,3.21, 0.19, 0:00.63, 534, 497 , 947.46 , 185.56
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,348286,3.66, 0.24, 0:00.75, 516, 497 , 808.54 , 140.16
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,459590,3.21, 0.25, 0:00.62, 555, 497 , 1010.48 , 184.95
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,324070,11.51, 0.31, 0:03.48, 339, 497 , 148.85 , 130.41
